subjectId,randCondNum,validationRadio,subjectValidation1,expTime_min,minRespTime_sec,iwould_large,iwould_small,iexpectOther_large,iexpectOther_small,dem_gender,dem_language,val_recognized,val_familiar,val_feedback,Data_Set,HITID,val0(7510),val1(disdain),val2(jealousy),val3(AF25HAS),val4(steal),val5(pia2_D_a2_C),val6(pia2_D_a2_C),Excluded,Notes
a4e8b329160f653f4c5e4fca4dbf47250280b3bbc5fb52090aed4924,17,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C  pia2_D_a2_C],0,5.110566667,13.875,0,1,-1,1,male,english,no,yes,no,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,,,,,pia2_C_a2_C,,0,
46fd06e467211fad7e65264c94333c6f299932f55e6f21494d88be30,30,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C  pia2_D_a2_C],0,14.65355,34.063,-1,1,-1,3,male,English,No,I understood all of the emotions labels.,It was fun and rewarding.,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,,,,,pia2_C_a2_C,,0,
101e62e628bde6233d2bf8ecccba0aeb9b26b88728565a61bbf9ff40,4,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C  pia2_C_a2_C],0,7.87725,23.578,0,-1,1,-3,male,English,No.,Yes,This was fun - I want to watch that gameshow now!,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,,,,,pia2_C_a2_C,pia2_C_a2_C,0,
cd881bc69266a4df45007eef8602aa4633a5ed26c2c61623651bc803,7,[32900  boredom  jealousy  AF14AFS  steal  pia2_C_a2_D  pia2_C_a2_C],0,4.098733333,15.208,0,-1,2,2,male,English,1,,Good,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,32900,boredom,,AF14AFS,,pia2_C_a2_D,pia2_C_a2_C,0,
d6fc72e5dc434838652f5c196c2f2308384052498d7832a46f02f3eb,10,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C  pia2_D_a2_C],1,18.54796667,72.321,-1,-1,-1,-1,female,English,no,yes,Thank you,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,,,,,,,0,
86104e1e0ac0ebfc5237ece0c253f05b082800f620ea9a678055b337,22,[7510  satisfaction  respect  AF25HAS  split  pia2_C_a2_D  pia2_C_a2_D],0,6.012633333,19.338,-1,-1,-3,-3,male,English,no,yes,good,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,satisfaction,respect,,split,pia2_C_a2_D,pia2_C_a2_D,0,
ff5e228eb3a70e0d63fbfcbe881b615b7668f5ee4f707e6033272243,31,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C  pia2_D_a2_C],1,17.75681667,51.794,-1,-1,-2,-1,male,English,No,I was familiar with all of the emotions,This was an interesting and fun HIT,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,,,,,,,0,
36f30c1fea6ba8e448c1c794d53baf5ef259a5b545300ebbd7cdef70,1,[7510  appreciation  apprehension  AF11SAS  split  pia2_C_a2_D  pia2_C_a2_D],0,3.667966667,11.633,-1,-1,-2,-2,male,english,good,Respect,good,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,appreciation,apprehension,AF11SAS,split,pia2_C_a2_D,pia2_C_a2_D,0,
c791b0ea612bc101ffdc12fab2ffbce7ea25a2a9c431a2018b9c41cb,21,[7510  appreciation  respect  AF14AFS  split  pia2_C_a2_D  pia2_C_a2_C],0,6.30625,14.6,-1,-1,-1,-1,male,english,good,no,good,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,appreciation,respect,AF14AFS,split,pia2_C_a2_D,pia2_C_a2_C,0,
7cab54134526d9cb2105433a3c47cce3b7320fd9bbfa73ef35d03e04,6,[7510  satisfaction  respect  AF25HAS  split  pia2_C_a2_D  pia2_C_a2_D],0,4.5824,16.176,-1,-1,-3,-3,male,English,no,yes,good,11.1,3MJ28H2Y1F8R5DWFR1PW3K294E2O5L,,satisfaction,respect,,split,pia2_C_a2_D,pia2_C_a2_D,0,
9966ff5c2f7c954e618f8f35d2eaf50b44cc0354b17aca8042109f6a,18,[7510  disdain  jealousy  AF25HAS  split  pia2_D_a2_C  pia2_D_a2_C],0,6.01865,18.799,0,1,1,3,,english,no,yes,good HIT,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,split,,,0,
348addebb8769fb183150fb7cfa318bfaa0cfbe1caa9d50f870c0c9b,25,[7510  satisfaction  jealousy  AF25HAS  split  pia2_C_a2_D  pia2_D_a2_C],0,6.8703,17.535,1,1,2,2,male,,no,yes,,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,satisfaction,,,split,pia2_C_a2_D,,0,
967dae806e1cdb5e269061ebd5676caf4e5d1c1c7ccb295a58050ac9,26,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C  pia2_D_a2_C],1,7.089766667,18.629,1,-1,-2,1,male,English,No,Familiar with all of them,,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,,,0,
c4ef02d384810b3af7702d1bd9a39ab16e93503b930b767659ade2de,11,[7510  disdain  jealousy  AF25HAS  split  pia2_C_a2_C  pia2_C_a2_C],0,6.806066667,20.438,1,1,1,2,female,english,no,yes,but what was the outcome of the first video????,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,split,pia2_C_a2_C,pia2_C_a2_C,0,
2f22888a41414663ca3392b47a5a8578d5f302aa3064631079f89946,8,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C  pia2_C_a2_C],0,6.555433333,23.323,-1,1,-3,3,male,English,No,Yes,,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,pia2_C_a2_C,pia2_C_a2_C,0,
2f523b7780ca93146adde1c6c5168c73276028135e25c80f1265c691,29,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C  pia2_D_a2_C],1,7.504216667,28.53,0,-1,2,1,male,English,no,understood all,,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,,,0,
8f5af5c1926f65ae85d445a09b9ca0e8314f49ed4e9150e6a826cda9,27,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C  pia2_D_a2_C],1,7.31605,15.96,0,0,-1,-1,female,english,none,yes,none,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,,,0,
82fc6974b9c067b0769eec4ef32a8e8e6852f5581b2ffb2b2212b7d3,9,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C  pia2_C_a2_C],0,9.4035,25.387,-1,1,-3,3,male,english,no,yes,no,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,pia2_C_a2_C,pia2_C_a2_C,0,
986748ea221062fc410bcbe590cb8290dcd9f4903cf908bb36cd2857,13,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C  pia2_D_a2_C],0,10.03866667,31.599,-1,-1,-1,2,male,English,I do not,Yes,I enjoyed this study.,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,pia2_C_a2_C,,0,
7b2d6c7ecc6b27ed7d6816e3c4d7af0720362e1ee15c3d29eba557ed,12,[7510  satisfaction  jealousy  AF25HAS  steal  pia2_C_a2_C  NR],0,9.30345,24.659,-1,-1,-1,-1,female,English,No,Yes,No,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,satisfaction,,,,pia2_C_a2_C,NR,0,
7ec04d2f7720818e4b7b9b1b2a25008d714a8252d702f85e363cc22c,19,[7510  disdain  jealousy  AF25HAS  steal  pia2_D_a2_C  pia2_D_a2_C],1,8.461133333,23.177,0,-1,-1,-3,female,english,no,I understand all of them well,,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,,,0,
d67bcd384427b200499f3ebfd3fdffe3e1b4eef3e14099cca45c2331,2,[7510  disdain  jealousy  AF25HAS  split  pia2_D_a2_C  pia2_D_a2_C],0,8.84725,26.441,1,1,2,1,male,English,no,yes,none,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,split,,,0,
48428b477450121a3d76926fe0603c7c57e9635cd828be6a0318bf5f,13,[7510  disdain  jealousy  NR  split  pia2_D_a2_C  pia2_C_a2_C],0,8.088266667,18.207,-1,-1,2,-3,female,Thai,None.,Fury,None,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,NR,split,,pia2_C_a2_C,0,
d050ac47778e889a23bff53da5dba21ead9967c4f980e0b78a7ea95d,-16,[7510  disdain  jealousy  AF25HAS  steal  pia2_C_a2_C  pia2_C_a2_C],0,7.4084,18.714,-1,0,-1,2,male,English,No,Yes,,11.2,3TX9T2ZCBA1XH0P6PBNM9IMQ8KYZWE,,,,,,pia2_C_a2_C,pia2_C_a2_C,0,
